9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd40, 9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd10, 9'd10, 9'd10, 9'd40, 9'd40, 9'd20, 9'd40, 9'd40, 9'd2,  9'd2,  9'd2,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd24, 9'd10, 9'd5,  9'd5,  9'd5,  9'd20, 9'd20, 9'd20, 9'd20, 9'd20, 9'd1,  9'd1,  9'd1,  9'd2,  9'd36, 9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd24, 9'd24, 9'd12, 9'd5,  9'd5,  9'd5,  9'd5,  9'd5,  9'd60, 9'd60, 9'd60, 9'd1,  9'd1,  9'd1,  9'd1,  9'd1,  9'd18, 9'd36, 9'd36, 9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  9'd24, 9'd24, 9'd12, 9'd12, 9'd12, 9'd15, 9'd15, 9'd15, 9'd15, 9'd20, 9'd20, 9'd20, 9'd3,  9'd3,  9'd3,  9'd3,  9'd18, 9'd18, 9'd18, 9'd36, 9'd36, 9'd0,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd0,  9'd18, 9'd24, 9'd12, 9'd12, 9'd12, 9'd36, 9'd15, 9'd5,  9'd5,  9'd5,  9'd20, 9'd20, 9'd20, 9'd1,  9'd1,  9'd1,  9'd3,  9'd54, 9'd18, 9'd18, 9'd18, 9'd8,  9'd8,  9'd0,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd18, 9'd18, 9'd9,  9'd12, 9'd36, 9'd36, 9'd12, 9'd12, 9'd5,  9'd5,  9'd5,  9'd20, 9'd20, 9'd20, 9'd1,  9'd1,  9'd1,  9'd18, 9'd18, 9'd54, 9'd54, 9'd4,  9'd4,  9'd8,  9'd8,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd0,  9'd18, 9'd9,  9'd9,  9'd27, 9'd36, 9'd12, 9'd12, 9'd12, 9'd5,  9'd5,  9'd5,  9'd20, 9'd20, 9'd20, 9'd1,  9'd1,  9'd1,  9'd18, 9'd18, 9'd18, 9'd12, 9'd12, 9'd4,  9'd4,  9'd8,  9'd0,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd18, 9'd9,  9'd9,  9'd9,  9'd27, 9'd9,  9'd12, 9'd12, 9'd12, 9'd12, 9'd5,  9'd5,  9'd20, 9'd20, 9'd20, 9'd1,  9'd1,  9'd18, 9'd18, 9'd18, 9'd4,  9'd4,  9'd12, 9'd4,  9'd4,  9'd4,  9'd8,  9'd0,  9'd0,  
9'd0,  9'd0,  9'd28, 9'd14, 9'd9,  9'd27, 9'd9,  9'd9,  9'd9,  9'd12, 9'd12, 9'd12, 9'd5,  9'd5,  9'd5,  9'd20, 9'd1,  9'd1,  9'd1,  9'd18, 9'd18, 9'd4,  9'd4,  9'd4,  9'd4,  9'd12, 9'd4,  9'd13, 9'd26, 9'd0,  9'd0,  
9'd0,  9'd28, 9'd14, 9'd14, 9'd42, 9'd42, 9'd9,  9'd9,  9'd9,  9'd9,  9'd12, 9'd12, 9'd12, 9'd5,  9'd5,  9'd20, 9'd1,  9'd1,  9'd18, 9'd18, 9'd4,  9'd4,  9'd4,  9'd4,  9'd4,  9'd39, 9'd39, 9'd13, 9'd13, 9'd26, 9'd0,  
